,rating,attitude,positve phrase,negative phrase,positive tags,negative tags:
1082,1,0,['   None'],"['Overly self-conscious storytelling', 'Lack of convincing acting']",['None'],"['Weak Plot', 'Subpar Acting']"
1083,10,1,"['Beautiful', 'Masterpiece', 'Well crafted', 'Made with love']",['None'],"['Stunning Visuals', 'Engaging Plot', 'Impeccable Production', 'Immersive Sound Design']",['None']
1084,5,0,['None'],"['Dark, dull, plodding', 'Lead character spends time naval gazing', 'Special effects look like 80s', 'Lack of action until the end']",['None'],"['Weak Plot', 'Subpar Acting', 'Lackluster Cinematography', 'Muddled Themes']"
1085,3,0,['None'],"['Complex storyline', 'Lack of clarity', 'Too many sub-plots', 'Difficult to follow', 'Disappointing overall viewing experience']",['None'],"['Weak Plot', 'Muddled Themes', 'Weak Plot', 'Weak Plot', 'Muddled Themes']"
1086,10,1,"[""Director's love for source material"", 'Growing character development', ""Mom's intensity"", 'Well-done fight scenes', 'Fantastic vehicle designs', ""Duke Atreides' acting""]","['Underdeveloped Baron Harkonen', ""Dislike of Dave Bautista's acting"", 'Overemphasis on Fremen girl with no explanation']","['Engaging Plot', 'Engaging Plot', 'Strong Performances', 'Strong Performances', 'Impeccable Production', 'Strong Performances']","['None', 'Subpar Acting', 'Muddled Themes']"
1087,10,1,"['flawless', 'well done', 'beyond expectations', 'engaging storyline', 'great acting']",['None'],"['Engaging Plot', 'Strong Performances', 'Thought-Provoking Themes', 'Engaging Plot', 'Strong Performances']",['None']
1088,2,0,['None'],"['Confusing storyline', 'Lack of clarity on characters', 'Obscure and messy plot']",['None'],"['Weak Plot', 'Weak Plot', 'Weak Plot']"
1089,10,1,"['Performances', 'Writing', 'Plot', 'Narration', 'Costumes']",['None'],"['Strong Performances', 'Engaging Plot', 'Engaging Plot', 'Thought-Provoking Themes', 'Impeccable Production']",['None']
1090,3,0,['   None'],['Boring.'],['None'],['Weak Plot']
1091,9,1,"['Sound design', 'CGI', 'Story', 'Characters', 'Cast', 'Music', 'Hans Zimmer', 'Sequel anticipation']",['   None'],"['Immersive Sound Design', 'Impeccable Production', 'Engaging Plot', 'Engaging Plot', 'Strong Performances', 'Immersive Sound Design', 'Immersive Sound Design', 'None']",['None']
1092,10,1,"['Beautiful aesthetics', 'Great screenplay and writing', 'Great casting', 'Great action scenes', 'Music enhances the setting', 'Feels inhabitable and real']",['None'],"['Stunning Visuals', 'Engaging Plot', 'Strong Performances', 'Thought-Provoking Themes', 'Immersive Sound Design', 'Impeccable Production']",['None']
1093,10,1,"['epic', 'brilliant', 'outstanding performances', 'special effects', 'true to the book']",['None'],"['Thought-Provoking Themes', 'Thought-Provoking Themes', 'Strong Performances', 'Stunning Visuals', 'Faithful adaptation']",['None']
1094,10,1,"['Epic', 'Visually stunning', 'Everything you could want']",['None'],"['Engaging Plot', 'Stunning Visuals', 'Impeccable Production']",['None']
1095,1,0,['   None'],['Complexity'],['None'],['Muddled Themes']
1096,10,1,"['Storytelling', 'Characters', 'Special effects', 'Cinematography', 'Score']",['None'],"['Engaging Plot', 'Strong Performances', 'Stunning Visuals', 'Impeccable Production', 'Immersive Sound Design']",['None']
1097,10,1,"['mind-blowing', 'new discoveries', 'on par with Avatar', 'potential for part two']",['None'],"['Engaging Plot', 'Thought-Provoking Themes', 'Thought-Provoking Themes', 'Faithful adaptation']",['None']
1098,10,1,"['CGI', 'Soundtrack', 'Characters', 'World-building']",['Ending issues'],"['Stunning Visuals', 'Immersive Sound Design', 'Strong Performances', 'Thought-Provoking Themes']",['Weak Plot']
1099,3,0,"['Stellar cast', 'Incredible design', ""Toto's score"", 'Heartfelt performances']","['Flat and boring tone', '2D characters', 'Lack of excitement or tension', 'Uninspired conflict and exposition']","['Strong Performances', 'Impeccable Production', 'Immersive Sound Design', 'Strong Performances']","['Muddled Themes', 'Weak Plot', 'Muddled Themes', 'Weak Plot']"
1100,10,1,"['Brilliantly crafted adaptation', 'Spectacular cinematic achievement', 'Masterful direction by Villeneuve', 'Exquisite score by Hans Zimmer', 'Exceptional performances by cast']",['None'],"['Faithful adaptation', 'Stunning Visuals', 'Thought-Provoking Themes', 'Immersive Sound Design', 'Strong Performances']",['None']
1101,10,1,"['Cinematography', 'Soundtrack']",['None'],"['Stunning Visuals', 'Immersive Sound Design']","['None', 'None']"
1102,9,1,"['Accurate representation of the novel', 'Excellent acting', 'Immersive soundscape', ""Timothy Chalamet's performance"", 'Just right pacing of the story']","['Potential confusion for those unfamiliar with the story', 'Brown shadowy setting', 'Lack of HDR contrast']","['Faithful adaptation', 'Strong Performances', 'Immersive Sound Design', 'Strong Performances', 'Engaging Plot']","['Muddled Themes', 'Lackluster Cinematography', 'Lackluster Cinematography']"
1103,1,0,['   None'],"['Length', 'Lack of excitement', 'Lack of originality', 'Overuse of big name actors', 'Reliance on special effects']","['None', 'None', 'None', 'None', 'None']","['Weak Plot', 'Weak Plot', 'Weak Plot', 'Subpar Acting', 'Lackluster Cinematography']"
1104,9,1,"['Story depth', 'World-building', 'Visual effects', 'Action scenes', 'Costumes and set design', 'Cinematography', 'Sound design']","['Lack of emotional connection to characters', 'Some intrusive and loud music']","['Engaging Plot', 'Engaging Plot', 'Impeccable Production', 'Thought-Provoking Themes', 'Impeccable Production', 'Stunning Visuals', 'Immersive Sound Design']","['Subpar Acting', 'Poor Audio Quality']"
1105,3,0,['   None'],"['Inconsequential drivel', 'No likeable characters', 'Cliched dialogue', 'Fat villain', 'Lame lackeys', 'Poorly written', 'Dull effects', 'Lack of fun and heart', 'Paid-for reviews', 'Nonsense storytelling', 'Anticlimactic worms']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['Muddled Themes', 'Muddled Themes', 'Poor Audio Quality', 'Poor Adaptation', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
1106,2,0,"['Visually impressive', 'None']","['Lack of tension, emotion, passion', 'Weak fight scenes', ""Director's storytelling abilities""]","['Stunning Visuals', 'None']","['Weak Plot', 'Subpar Acting', 'Muddled Themes']"
1107,10,1,"['Faithful', 'Big', 'Great', 'Beautiful', 'Winner']",['None'],"['Faithful adaptation', 'Engaging Plot', 'Stunning Visuals', 'Impeccable Production', 'Immersive Sound Design']",['None']
1108,1,0,['   None'],['Negative portrayal of Arabs'],['None'],['Weak Plot']
1109,10,1,"['Perfect', 'Touching', 'Feelings manifested', 'Pleasant experiences', 'Shared experiences']",['None'],"['Engaging Plot', 'Strong Performances', 'Immersive Sound Design', 'Thought-Provoking Themes']",['Poor Adaptation']
1110,9,1,"['Incredible visuals', 'Incredible score by Hans Zimmer']","['Film cut in half', 'Abrupt ending in the middle']","['Stunning Visuals', 'Immersive Sound Design']","['Weak Plot', 'Muddled Themes']"
1111,1,0,['None'],"['Boring', 'Uninspired', 'Unoriginal']",['None'],"['Weak Plot', 'Inadequate Set Design', 'Weak Plot']"
1112,10,1,"['Visuals', 'Music', 'Story']",['None'],"['Stunning Visuals', 'Immersive Sound Design', 'Engaging Plot']",['None']
1113,5,0,['Visual effects'],['Boring'],['Stunning Visuals'],['Weak Plot']
1114,5,0,['None'],"['Confusing storyline', 'Pacing issues', 'Unsatisfying payoff']",['None'],"['Weak Plot', 'Muddled Themes', 'Muddled Themes']"
1115,8,1,"['visuals', 'casting', ""Timothy Chalamet's performance"", ""Rebecca Ferguson and Josh Brolin's performances"", ""Jason Momoa's performance""]","['dense storyline for newcomers', 'villains underdeveloped', 'only covers half of the book']","['Stunning Visuals', 'Strong Performances', 'Strong Performances', 'Strong Performances', 'Strong Performances']","['Weak Plot', 'Weak Plot', 'Poor Adaptation']"
1116,9,1,"['Performances', 'Production', 'Soundtrack', 'Immersion', 'Attention to detail']",['Ending'],"['Strong Performances', 'Impeccable Production', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Impeccable Production']",['Weak Plot']
1117,4,0,"['Production design', 'VFX', 'Score']",['Disappointment'],"['Impeccable Production', 'Immersive Sound Design', 'Immersive Sound Design']",['Muddled Themes']
1118,8,1,"['Faithful to the book', 'Good acting', 'Climactic ending', ""Timothée Chalamet's performance"", 'Explanations provided for newcomers']",['Multiple parts (personal preference)'],"['Faithful adaptation', 'Strong Performances', 'Engaging Plot', 'Strong Performances', 'Thought-Provoking Themes']",['Weak Plot']
1119,3,0,['    None'],"['    - Boring', '    - Confusing', '    - Terrible acting', '    - Cinematography', '    - Dialogue']",['None'],"['Weak Plot', 'Muddled Themes', 'Subpar Acting', 'Lackluster Cinematography', 'Poor Audio Quality']"
1120,8,1,"['Adaptation', 'Clear storytelling', 'Visuals', 'Acting']","['Introduction of new characters', 'Length of the movie']","['Faithful adaptation', 'Thought-Provoking Themes', 'Stunning Visuals', 'Strong Performances']","['Weak Plot', 'Weak Plot']"
1121,6,0,['   None'],"['Static', 'Lack of character development', 'Indecipherable dialog', 'Lack of emotional connection', 'Dated cultural themes']",['None'],"['Weak Plot', 'Weak Plot', 'Poor Audio Quality', 'Muddled Themes', 'Muddled Themes']"
1122,9,1,"['Incredible showing', 'Best sci-fi first half', 'Excellent film to start']",['Cannot stand on its own'],"['Engaging Plot', 'Engaging Plot', 'Engaging Plot']",['Muddled Themes']
1123,6,0,['Visuals'],"['Story', 'Emphasis on visuals', 'Scriptwriting', 'Hand-to-hand combat in future']",['Stunning Visuals'],"['Weak Plot', 'Lackluster Cinematography', 'Weak Plot', 'Weak Plot']"
1124,10,1,"['Amazing Soundtrack', 'Story', 'Visuals', 'Comparable to Blade Runner 2049 and Star Wars', 'Top 10 Movies']",['None'],"['Immersive Sound Design', 'Engaging Plot', 'Stunning Visuals', 'Thought-Provoking Themes', 'None']",['None']
1125,1,0,['None'],"['Mindless art shots', 'Bland cast', 'Greenish/blueish LUTs', 'CGI-infested', 'Non-sensical']","['Impeccable Production', 'Strong Performances', 'Stunning Visuals', 'Impeccable Production', 'Immersive Sound Design']","['Muddled Themes', 'Subpar Acting', 'Lackluster Cinematography', 'Lackluster Cinematography', 'Weak Plot']"
1126,2,0,['    None'],"['    - Inaudible dialogue', '    - Ear-splitting music', '    - Repetitive music cues', '    - Bland story', '    - Disappointment over incomplete adaptation']",['None'],"['None', 'None', 'None', 'None', 'None']"
1127,6,0,"['Visuals', 'Acting']","['Story cut in half', 'Disappointment in lack of closure', 'Sequel announcement before release']","['Stunning Visuals', 'Strong Performances']","['Weak Plot', 'Weak Plot', 'Weak Plot']"
1128,10,1,"['Pacing', 'Directing', 'Story', 'Acting', 'Soundtrack', 'Refreshing movie', 'Engaging', 'Well-crafted', 'Master class']",['None'],"['Engaging Plot', 'Strong Performances', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Thought-Provoking Themes', 'Engaging Plot', 'Engaging Plot', 'Engaging Plot', 'Thought-Provoking Themes']",['None']
1129,9,1,"['Breathtaking scenes', 'Great performances']",['Not the full story'],"['Stunning Visuals', 'Strong Performances']",['Poor Adaptation']
1130,10,1,"['Music', 'Scenes', 'Scenario', 'Perfect', 'Enjoyed', 'Sequel']",['None'],"['Immersive Sound Design', 'Thought-Provoking Themes', 'Engaging Plot', 'Engaging Plot', 'Thought-Provoking Themes', 'Faithful adaptation']",['None']
1131,10,1,"['visuals', 'plot unfolding', 'actors', 'immersion', 'story']",['confusing at first'],"['Stunning Visuals', 'Engaging Plot', 'Strong Performances', 'Immersive Sound Design', 'Thought-Provoking Themes']",['Muddled Themes']
1132,10,1,"['Immersive', 'Well-cast actors', 'Stunning effects and scenery', 'True to the book']",['None'],"['Stunning Visuals', 'Strong Performances', 'Stunning Visuals', 'Faithful adaptation']",['None']
1133,7,1,"['Beautiful visuals', 'Good music', 'Strong acting', 'Well executed action scenes', 'Interesting lore and world-building']","['Cliffhanger ending', 'Potential lack of audience interest']","['Stunning Visuals', 'Immersive Sound Design', 'Strong Performances', 'Thought-Provoking Themes', 'Thought-Provoking Themes']","['Weak Plot', 'Muddled Themes']"
1134,1,0,['   None'],"['Storyline', 'Incoherent', 'Unfinished thoughts', 'Poorly written']",['None'],"['Weak Plot', 'Weak Plot', 'Weak Plot', 'Muddled Themes']"
1135,6,0,"['Beautiful visuals', 'Excellent actors']","['Stodgy story', 'Dull characters', 'Lack of excitement', 'Lack of satisfying ending']","['Stunning Visuals', 'Strong Performances']","['Weak Plot', 'Subpar Acting', 'Weak Plot', 'Weak Plot']"
1136,1,0,['None'],['Disappointing'],['None'],"['Weak Plot', 'Poor Audio Quality', 'Poor Adaptation']"
1137,9,1,"['beautifully shot', 'care about the characters', 'all-star cast', 'anticipation for sequel']",['movie could have been longer'],"['Stunning Visuals', 'Engaging Plot', 'Strong Performances', 'Engaging Plot']",['Weak Plot']
1138,10,1,"['faultless', 'amazing start', 'gripping', 'untainted by original']",['None'],"['Engaging Plot', 'Thought-Provoking Themes', 'Engaging Plot', 'Faithful adaptation']",['None']
1139,9,1,"['Beautiful cinematography', 'Loyal to the book', 'Poetic', 'Happy with everything']",['None'],"['Stunning Visuals', 'Faithful adaptation', 'Thought-Provoking Themes', 'None']",['None']
1140,10,1,"['Cinematic experience', 'Iconic imagery', 'Fully developed characters', ""Timothee Chalamet's performance"", ""Villeneuve's direction""]",['Some viewers may find it slow'],"['Engaging Plot', 'Stunning Visuals', 'Strong Performances', 'Strong Performances', 'Impeccable Production']",['Muddled Themes']
1141,4,0,['Visual spectacle'],"['Mediocre aspects', 'Slow and meandering plot', 'Many pointless scenes', 'Lack of climax', 'Lack of character development']","['Stunning Visuals', 'Engaging Plot', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Thought-Provoking Themes']","['Weak Plot', 'Weak Plot', 'Weak Plot', 'Weak Plot', 'Weak Plot']"
1142,1,0,['   None'],['Pacing and plot development'],"['None', 'None']","['Muddled Themes', 'Weak Plot']"
1143,10,1,['Legendary potential'],['None'],['Thought-Provoking Themes'],['None']
1144,3,0,['None'],"['Story deviation', 'Overwhelming action', 'Loud and oppressive atmosphere', 'Character-driven drama turned into superhero-like combat', 'Headache-inducing special effects']",['None'],"['Weak Plot', 'Muddled Themes', 'Poor Audio Quality', 'Muddled Themes', 'Lackluster Cinematography']"
1145,1,0,['special effects'],"['story', 'actors', 'direction', ""boy's mother role""]",['Stunning Visuals'],"['Weak Plot', 'Subpar Acting', 'None', 'Subpar Acting']"
1146,10,1,"['visuals', 'acting', 'music']",['None'],"['Engaging Plot', 'Strong Performances', 'Stunning Visuals', 'Impeccable Production', 'Immersive Sound Design']",['Poor Adaptation']
1147,9,1,"['detailed', 'universe-spanning', 'leaves wanting more', 'scene-setting']",['remake references'],"['Engaging Plot', 'Engaging Plot', 'Engaging Plot', 'Impeccable Production']",['Muddled Themes']
1148,9,1,"['Music score', 'CGI mastery']",['None'],"['Immersive Sound Design', 'Stunning Visuals']",['None']
1149,3,0,['   None'],"['Tries too hard to be taken seriously', 'Ends too abruptly', 'Some actor choices were horrible', 'Disappointment for a DUNE fan']",['None'],"['Weak Plot', 'Muddled Themes', 'Subpar Acting', 'Poor Adaptation']"
1150,4,0,['None'],"['Design', 'Acting skills', 'Lack of originality', 'Inaccurate portrayal of characters', 'Poor execution of the story']",['Impeccable Production'],"['Subpar Acting', 'Weak Plot', 'Weak Plot', 'Muddled Themes', 'Muddled Themes']"
1151,1,0,['   None'],['Lack of high-tech weaponry'],['None'],['Weak Plot']
1152,9,1,"['beautiful visuals', 'captivating storyline', 'excellent cast', 'stunning costumes', 'terrific music']",['None'],"['Stunning Visuals', 'Engaging Plot', 'Strong Performances', 'Impeccable Production', 'Immersive Sound Design']",['None']
1153,9,1,"['Compelling adaptation of original story', 'Breathtaking cinematic detail', 'Well-produced feature film']","['Only a portion of the original story told in this adaptation', 'Lack of clarity on being ""Dune Part 1"" in title/trailer']","['Faithful adaptation', 'Stunning Visuals', 'Impeccable Production']","['Poor Adaptation', 'Muddled Themes']"
1154,2,0,['   None'],"['Poor CGI', 'Long periods of nothing', 'Confusing for non-book readers', 'Miscast of Paul', 'Harrkonens not portrayed properly']","['None', 'None', 'None', 'None', 'None']","['Lackluster Cinematography', 'Weak Plot', 'Weak Plot', 'Subpar Acting', 'Subpar Acting']"
1155,6,0,['Great story'],"['Pacing', 'Overuse of intense music']",['Engaging Plot'],"['Muddled Themes', 'Poor Audio Quality']"
1156,6,0,['Visuals'],"['Long', 'Boring', 'Lack of character development']",['Stunning Visuals'],"['Weak Plot', 'Weak Plot', 'Weak Plot']"
1157,10,1,"['Acting', 'Score', 'Cast', 'Pace', 'CGI']",['None'],"['Strong Performances', 'Immersive Sound Design', 'Strong Performances', 'Thought-Provoking Themes', 'Stunning Visuals']",['None']
1158,9,1,"['Fantastic adaptation', 'Strong performances', 'Gorgeous visual and auditory feast', 'Vast and captivating world-building', 'Hit all key plot points']",['Not suitable for younger audience'],"['Faithful adaptation', 'Strong Performances', 'Stunning Visuals', 'Impeccable Production', 'Engaging Plot']",['Muddled Themes']
1159,1,0,['   None'],"['Pacing', 'Lack of emotional connection', 'Forced love story', 'Disappointing casting choices', 'Confusing plot development']",['None'],"['Weak Plot', 'Subpar Acting', 'Subpar Acting', 'Subpar Acting', 'Weak Plot']"
1160,6,0,['None'],"['Boring', 'Lack of expression', 'Confusing plot']",['None'],"['Weak Plot', 'Subpar Acting', 'Weak Plot']"
1161,10,1,"['Spectacular visuals', 'Amazing special effects', 'Entertaining movie']",['None'],"['Stunning Visuals', 'Impeccable Production', 'Engaging Plot']",['None']
1162,3,0,['   None'],"['Editing', 'Missing themes', 'Scale', 'Production design', 'Big ideas: interstellar travel', 'Sword fights', 'Voice over', 'Miscasting', 'The logo']","['None', 'None', 'None', 'None', 'None', 'None', 'None']","['Muddled Themes', 'Muddled Themes', 'Poor Audio Quality', 'Inadequate Set Design', 'Muddled Themes', 'Subpar Acting', 'Muddled Themes', 'Subpar Acting', 'Weak Plot']"
1163,8,1,"['Gorgeous visuals', 'Emotional depth', 'Improved character development', 'Enhanced music and sound design', 'Creative adaptation of source material']","['Lack of depth in technology and lore', 'Goofy pronunciation choices for some words', 'Past villain appearance criticized']","['Stunning Visuals', 'Strong Performances', 'Engaging Plot', 'Immersive Sound Design', 'Faithful adaptation']","['Lackluster Cinematography', 'Subpar Acting', 'Poor Adaptation']"
1164,9,1,"['Details', 'Lore', 'Slow pacing', 'Build up', 'Great adaptation', 'Visuals', 'Music', 'Themes']",['None'],"['Engaging Plot', 'Engaging Plot', 'Thought-Provoking Themes', 'Thought-Provoking Themes', 'Faithful adaptation', 'Stunning Visuals', 'Immersive Sound Design', 'Thought-Provoking Themes']",['None']
1165,5,0,['   None'],"['Ruined original story', 'Arbitrary changes', 'Key characters left out', 'Excessive exposition', 'Lack of character depth', 'Lack of tension', 'Lack of beauty and otherworldliness', 'Sleep-inducing and slog', 'Unentertaining scenes']",['None'],"['Weak Plot', 'Weak Plot', 'Weak Plot', 'Muddled Themes', 'Subpar Acting', 'Muddled Themes', 'Lackluster Cinematography', 'Muddled Themes', 'Muddled Themes']"
1166,6,0,"['Visual effects', 'Worth a watch']","['Bland characters', 'Dull dialog', 'Underwhelming interpretation']","['Stunning Visuals', 'Engaging Plot']","['Subpar Acting', 'Muddled Themes', 'Muddled Themes']"
1167,9,1,"[""Cinematic chef-d'oeuvre"", 'Awe-inspiring visuals', 'Articulated framing and shot composition', 'Captures essence of Power Politics', 'Strong performances from cast']",['Characterization void'],"['Stunning Visuals', 'Stunning Visuals', 'Stunning Visuals', 'Thought-Provoking Themes', 'Strong Performances']",['Weak Plot']
1168,9,1,"['Potential', 'Visually impressive', 'Casting', 'Acting', 'Cinematography', 'Storytelling']",['None'],"['Engaging Plot', 'Impeccable Production', 'Strong Performances', 'Strong Performances', 'Stunning Visuals', 'Thought-Provoking Themes']",['None']
1169,4,0,['   None'],['Lack of storyline'],['None'],['Weak Plot']
1170,9,1,"['visual', 'great music', 'catchy story']",['None'],"['Stunning Visuals', 'Immersive Sound Design', 'Engaging Plot']",['None']
1171,5,0,"['Great visuals', 'Decent plot movement']","['Inaudible dialogue', 'Deafeningly loud sound effects']","['Stunning Visuals', 'Engaging Plot']","['Poor Audio Quality', 'Poor Audio Quality']"
1172,3,0,['   None'],"['sucks', 'trash']",['None'],"['Muddled Themes', 'Poor Audio Quality']"
1173,1,0,['   None'],"['Slow', 'Dark', 'Boring', 'Annoying soundtrack', 'Lack of defined characters and plot']","['None', 'None']","['Weak Plot', 'Muddled Themes', 'Muddled Themes', 'Poor Audio Quality', 'Weak Plot']"
1174,9,1,"['Storytelling', 'Limited action sequences', 'Acting', 'Epic tale', 'Character development']",['None'],"['Engaging Plot', 'Thought-Provoking Themes', 'Strong Performances', 'Thought-Provoking Themes', 'Engaging Plot']",['None']
1175,7,1,"['Epic story', 'Great cast', 'Spectacular visual effects', 'Loved the music', 'Nice buildup to sequel']","['No emotional dynamics', 'Characters not engaging', 'Monotonous costumes', 'Monotonous music']","['Engaging Plot', 'Strong Performances', 'Stunning Visuals', 'Immersive Sound Design', 'Thought-Provoking Themes']","['Subpar Acting', 'Subpar Acting', 'Inadequate Set Design', 'Poor Audio Quality']"
1176,1,0,['   None'],"['Boring', 'Illogical cuts', 'Nonsense dialogues', 'More focus on visuals than script', 'Disliked character portrayal']","['None', 'None', 'None', 'None', 'None']","['Weak Plot', 'None', 'None', 'Weak Plot', 'Subpar Acting']"
1177,8,1,"['New world immersion', 'Complicated backstory', 'Unique music', 'Uniquely odd planet', 'Enjoyable weirdness']",['None'],"['Impeccable Production', 'Engaging Plot', 'Immersive Sound Design', 'Impeccable Production', 'Thought-Provoking Themes']",['None']
1178,10,1,"['Well-crafted adaptation', 'Captivating music by Hans Zimmer', 'Raw and real feel', 'High production value', 'Comparable to Star Wars and Lord of the Rings']",['None'],"['Faithful adaptation', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Impeccable Production', 'Engaging Plot']",['None']
1179,10,1,"['Well-paced', 'Strong acting', 'Fleshed out characters', 'Stunning sound design', 'Breathtaking cinematics', 'Intriguing storyline']",['None'],"['Engaging Plot', 'Strong Performances', 'Engaging Plot', 'Immersive Sound Design', 'Stunning Visuals', 'Engaging Plot']",['None']
1180,5,0,['None'],"['Excessive focus on CGI', 'Overuse of slow-motion scenes', 'Lack of room for actors to act', 'Poor dialogue', 'Illogical flying machinery']",['None'],"['Lackluster Cinematography', 'Lackluster Cinematography', 'Subpar Acting', 'Weak Plot', 'Weak Plot']"
1181,8,1,"['Beautiful', 'Epic', 'Intelligent story', 'Acting performances', 'Stunning visuals']",['None'],"['Engaging Plot', 'Engaging Plot', 'Engaging Plot', 'Strong Performances', 'Stunning Visuals']",['None']
1182,1,0,['   None'],['Plagiarism'],['None'],['Poor Adaptation']
1183,1,0,['   None'],"['Sound', 'Acting', 'Direction', 'Photography']",['None'],"['Poor Audio Quality', 'Subpar Acting', 'Muddled Themes', 'Lackluster Cinematography']"
1184,1,0,['   None'],"['Inconsistent technology use', 'Excessive focus on helicopters', 'Slow storyline development']",['Engaging Plot'],"['Muddled Themes', 'Muddled Themes', 'Weak Plot']"
1185,4,0,"['IMAX effect', 'Scale', 'Actors']","['Boring', 'Length']","['Stunning Visuals', 'Thought-Provoking Themes', 'Strong Performances']","['Weak Plot', 'Muddled Themes']"
1186,6,0,['None'],['Primitive weaponry in advanced society'],['None'],['Inadequate Set Design']
1187,3,0,['Visuals'],"['Length', 'Deviation from book']",['Stunning Visuals'],"['Weak Plot', 'Poor Adaptation']"
1188,2,0,['None'],"['Lack of character development', 'Slow and boring story', 'Confusing plot', 'Disinterest in characters']",['None'],"['Weak Plot', 'Weak Plot', 'Weak Plot', 'Subpar Acting']"
1189,8,1,"['Awe-inspiring', 'Monumental achievement in filmmaking', 'Epic scope', 'Grand and theatrical', 'Sweeping world-building']",['Some parts are languid'],"['Engaging Plot', 'Engaging Plot', 'Stunning Visuals', 'Impeccable Production', 'Immersive Sound Design']",['Muddled Themes']
1190,9,1,"['Epic', 'Story', 'World building', 'Action', 'Acting', 'Suspense']",['Incomplete feeling.'],"['Engaging Plot', 'Thought-Provoking Themes', 'Thought-Provoking Themes', 'Engaging Plot', 'Strong Performances', 'Thought-Provoking Themes']",['Muddled Themes']
1191,8,1,"['Cinematography', 'Acting', 'VFX', 'Story']",['None'],"['Engaging Plot', 'Strong Performances', 'Stunning Visuals', 'Impeccable Production', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Faithful adaptation']",['None']
1192,3,0,['   None'],"['Characters', 'Script', 'Pacing', 'Dark theme', 'Disappointed with ratings']","['None', 'None', 'None', 'None', 'None']","['Weak Plot', 'Subpar Acting', 'Poor Audio Quality', 'Muddled Themes', 'Poor Adaptation']"
1193,1,0,"['Cast', 'Special effects']","['Weak plot', 'Weak story', 'Cliffhanger ending']","['Strong Performances', 'Impeccable Production']","['Weak Plot', 'Weak Plot', 'Muddled Themes']"
1194,10,1,"['Cast', ""Timothee Chalamet's performance"", 'Chemistry between Timothee Chalamet and Zendaya', 'Immersive film experience', 'Perfect pacing', 'Amazing special effects']",['   None'],"['Strong Performances', 'Strong Performances', 'Strong Performances', 'Thought-Provoking Themes', 'Thought-Provoking Themes', 'Stunning Visuals']",['None']
1195,7,1,"['Beautiful looking film', 'Storytelling feels like a story being told', ""Core of Paul's journey is well portrayed"", 'Detailed world-building', 'Great design and sense of scale']","['Some key characters feel underdeveloped', ""Film's structure feels incomplete"", ""Hans Zimmer's score is overwhelming""]","['Stunning Visuals', 'Thought-Provoking Themes', 'Engaging Plot', 'Impeccable Production', 'Impeccable Production']","['Subpar Acting', 'Muddled Themes', 'Poor Audio Quality']"
1196,4,0,"['set design', 'cinematography', ""Oscar Isaac's performance""]","['melodramatic', 'corny dialogue', 'forced ending']","['Impeccable Production', 'Stunning Visuals', 'Strong Performances']","['Muddled Themes', 'Weak Plot', 'Weak Plot']"
1197,8,1,"['Visuals', ""Hans Zimmer's music"", 'Characterization', 'Well-acted', 'Eye-pleasing']","['Lack of character development', 'Inadequate world-building']","['Stunning Visuals', 'Immersive Sound Design', 'Strong Performances', 'Strong Performances', 'Impeccable Production']","['Weak Plot', 'Inadequate Set Design']"
1198,1,0,['   None'],"['Boring', 'Slow', 'Disappointing']",['None'],"['Weak Plot', 'None', 'Muddled Themes']"
1199,1,0,['   None'],"['Lack of character development', 'Confusing plot', 'Slow pace', 'Lack of context/explanation', 'Impractical use of technology']",['Impeccable Production'],"['Weak Plot', 'Weak Plot', 'Muddled Themes', 'Muddled Themes', 'Muddled Themes']"
1200,8,1,"['Stunning visuals', 'Magnificent production designs', 'Powerful Hans Zimmer score', 'Coherent book adaptation', 'Strong ensemble cast']",['None'],"['Stunning Visuals', 'Impeccable Production', 'Immersive Sound Design', 'Faithful adaptation', 'Strong Performances']",['None']
1201,8,1,"['Enjoyable', 'Nice surprise', 'Worth viewing']",['Gender bending of Liet'],"['Engaging Plot', 'Engaging Plot', 'Engaging Plot']",['None']
1202,5,0,['Visuals'],"['Pacing', 'Lack of standout moments']",['Stunning Visuals'],"['Muddled Themes', 'Weak Plot']"
1203,6,0,"['Actors', 'Score/atmosphere']","['Lack of depth', 'Lack of consistency', 'Lack of tension']","['Strong Performances', 'Immersive Sound Design']","['Weak Plot', 'Muddled Themes', 'Muddled Themes']"
1204,10,1,"['Epic saga', 'Visually striking', 'Hypnotic music', 'Clearer understanding of complex ideas', 'Good casting choices']",['None'],"['Engaging Plot', 'Stunning Visuals', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Strong Performances']",['None']
1205,9,1,"['Visual storytelling', ""Hans Zimmer's celestial score"", 'All star cast', 'Captures essence of characters', 'Thrilling sequences']","['Lack of resolution', 'Certain integral scenes cut', 'Hawat and Dr. Uwe reduced to plot devices']","['Stunning Visuals', 'Immersive Sound Design', 'Strong Performances', 'None', 'Engaging Plot']","['Weak Plot', 'Poor Adaptation', 'None']"
